Governance Level,Bureau/Service/Office,Functional Division,Position Title,Salary Grade,Key Responsibilities,Source
Regional Office (RO),Office of the Regional Director,Curriculum and Learning Management Division (CLMD),Chief Education Supervisor,Not in source,"Ensure full implementation of articulated basic education curriculum, its localization/indigenization, and increase access to learning resources. Coordinate with BLR for screening and selecting potential LREs; monitor delivery and utilization of TXs and TMs.",1-5
Regional Office (RO),Office of the Regional Director,Field Technical Assistance Division (FTAD),Chief Education Supervisor,Not in source,Lead the Regional Field Technical Assistance Team (RFTAT); formulate regional operational guidelines; coordinate and integrate the provision of technical assistance to SDOs to facilitate quality basic education delivery.,2-7
Regional Office (RO),Office of the Regional Director,"Policy, Planning, and Research Division (PPRD)",Chief Education Supervisor,Not in source,Facilitate formulation and implementation of education plans and policies through research and data management systems. Conduct orientation on enrollment procedures and monitor data collection.,"2, 3, 5, 8"
Regional Office (RO),Office of the Regional Director,Human Resource Development Division (HRDD),Chief Education Supervisor,Not in source,"Ensure competent personnel through an efficient training and development system; manage professional development, orientations, and capability-building activities (e.g., PPSSH).","2, 3, 5, 9"
Regional Office (RO),Office of the Regional Director,Quality Assurance Division (QAD),Chief Education Supervisor,Not in source,"Ensure compliance with standards of quality basic education by assessing, monitoring, and evaluating region and school performances; oversee quality assurance protocols.",2-5
Regional Office (RO),Office of the Regional Director,Education Support Services Division (ESSD),Chief Education Supervisor,Not in source,"Manage health and nutrition sections, education facilities, and special programs and projects.",2
Regional Office (RO),Administrative Services Division,Office of the Division Chief,"Chief, Administrative Services Division",Not in source,"Provide regional office with efficient administrative services relating to personnel, records, correspondence, supplies, equipment, and custody of property; manage personnel actions for RO employees.","3, 5, 10"
Regional Office (RO),Administrative Services Division,Office of the Division Chief,Supervising Administrative Officer,Not in source,Supervise administrative functions and staff within the division office.,10
Regional Office (RO),Administrative Services Division,Personnel Section,Administrative Officer V,Not in source,"Acquisition of personnel, tracking movement, timely compensation and benefits management, and employee database management.",10
Regional Office (RO),Administrative Services Division,Cash Section,Administrative Officer V,Not in source,"Management of cash collections, disbursements, liquidations, and preparation of accounting reports.",10
Regional Office (RO),Administrative Services Division,Records Section,Administrative Officer V,Not in source,"Receipt, recording, distribution, and safekeeping of official correspondence and documents; records management.",10
Regional Office (RO),Administrative Services Division,Asset Management Section,Administrative Officer V,Not in source,"Delivery of basic education assets, supplies, and instructional materials; property and supply management system.",10
Regional Office (RO),Administrative Services Division,General Services Unit,Administrative Officer V,Not in source,Safety and security of personnel and premises; grounds and building maintenance; motor pool services.,10
Regional Office (RO),Office of the Regional Director,Finance Division,Chief Administrative Officer,Not in source,"Management of regional financial resources, including accounting, budget, payroll, and reporting services; coordinate with oversight agencies.","2, 3, 5"
Regional Office (RO),Office of the Regional Director,Administrative Division,Chief Administrative Officer,Not in source,"Oversee administrative services including asset management, cash, personnel, and records sections at the regional level.",2
Regional Office (RO),Office of the Regional Director,Legal Unit,Not in source,Not in source,Provide legal advice and render legal opinions to the Regional Director and officials; interpret laws and rules; handle legal and investigation matters.,3-5
Regional Office (RO),Office of the Regional Director,ICT Unit,Not in source,Not in source,Manage the ICT System and infrastructure to effectively support operations and ICT-related plans and programs.,3-5
Regional Office (RO),Office of the Regional Director,Public Affairs Unit,Not in source,Not in source,Manage communication systems to strengthen relationships with external partners and inform the public of regional accomplishments.,3-5
Schools Division Office (SDO),Office of the Schools Division Superintendent (OSDS),Curriculum Implementation Division (CID),Chief Education Supervisor (CID Chief),Not in source,Ensure implementation of Basic Education Curriculum through localization and innovations; monitor and provide reports on delivery and utilization of TXs and TMs.,"1, 2, 9, 11-14"
Schools Division Office (SDO),Office of the Schools Division Superintendent (OSDS),School Governance and Operations Division (SGOD),Chief Education Supervisor (SGOD Chief),Not in source,Provide strategic direction for governance/operation of schools; coordinate with LGU on registration; ensure schools have resources and technical assistance.,"6-8, 13, 15-17"
Schools Division Office (SDO),Office of the Schools Division Superintendent (OSDS),Instructional Management Section (IMS),Education Program Supervisor (EPS),Not in source,Develops special programs for holistic learner development; provides technical assistance in curriculum implementation and instructional supervision.,"3, 12, 14, 16, 18"
Schools Division Office (SDO),Office of the Schools Division Superintendent (OSDS),CID - Learning Resource Management Section (LRMS),Education Program Supervisor,Not in source,"Manage policies for procurement, development, and utilization of learning resources; in-charge of social content review and validation for localized materials.","1, 12, 14, 18"
Schools Division Office (SDO),Office of the Schools Division Superintendent (OSDS),SGOD - School Management Monitoring & Evaluation (SMME),Senior Education Program Specialist,Not in source,Technical support in implementing quality management systems and monitoring adherence to standards; serve as a member of the Division Field Technical Assistance Team (DFTAT).,"3, 6, 16"
Schools Division Office (SDO),Office of the Schools Division Superintendent (OSDS),SGOD - Planning and Research Section,Planning Officer III,Not in source,Provides descriptive statistics for planning and budgeting; manages data planning and research initiatives to support division decision-making.,"3, 16, 18"
Schools Division Office (SDO),Office of the Schools Division Superintendent (OSDS),SGOD - Human Resource Development (HRD) Section,Senior Education Program Specialist,Not in source,Provides technical support in implementation of strategic HRD plan and prepared HR operational plans.,"3, 16"
Schools Division Office (SDO),Office of the Schools Division Superintendent (OSDS),SGOD - Social Mobilization and Networking Section,Senior Education Program Specialist,Not in source,Strengthens and sustains relationships with education partners; mobilization of resources to support special projects.,"3, 16"
Schools Division Office (SDO),Office of the Schools Division Superintendent (OSDS),SGOD - Educational Facilities Section,Engineer III,Not in source,Provides technical services to ensure schools have a physical environment conducive to teaching and learning; ensures safe buildings.,"3, 16"
Schools Division Office (SDO),Office of the Schools Division Superintendent (OSDS),SGOD - Disaster and Risk Reduction Management (DRRM),Project Development Officer II,Not in source,Coordinates with NDRRM and LGUs to implement mandated measures; identifies risks to facilities and learners.,16
Schools Division Office (SDO),Office of the Schools Division Superintendent (OSDS),SGOD - School Health and Nutrition Section,Nurse II,Not in source,Assists in the implementation of health and nutrition programs and projects of the SDO.,"3, 16"
Schools Division Office (SDO),Office of the Schools Division Superintendent (OSDS),CID - Alternative Learning System (ALS),Education Program Specialist II,Not in source,"Coordinate literacy mapping, advocacy, and social mobilization; guide mobile teachers in learning sessions and materials development.","12, 14"
Schools Division Office (SDO),Office of the Schools Division Superintendent (OSDS),Legal Unit,Attorney III,Not in source,Provides legal advice and support for the division and schools; handles administrative cases and ensures legal compliance.,"3, 13, 18"
Schools Division Office (SDO),Office of the Schools Division Superintendent (OSDS),Finance Services,Accountant III,Not in source,"Manage financial records, accounting processes, and ensure proper utilization of funds within the division.","13, 18"
Schools Division Office (SDO),Office of the Schools Division Superintendent (OSDS),Information Technology Unit,Information Technology Officer I,Not in source,"Manage division ICT systems, technical support, and implementation of technology-enabled solutions.","13, 18"
Schools Division Office (SDO),Office of the Schools Division Superintendent (OSDS),Administrative Section,Head Teacher I-VI,14-19,"Observes classes, assists school heads in planning, coordinates teacher training, and supports school-based management.",19
Schools Division Office (SDO),Office of the Schools Division Superintendent (OSDS),CID - Schools Division Reading Coordinator,Not in source,Not in source,Identify target schools and learners for Literacy Remediation Programs based on CRLA results.,15
