iern,SchoolID,Region,Division,District,School.Name,Street.Address,Mother.School.ID,Province,Municipality,Legislative.District,Barangay,Latitude,Longitude
2026-00001,134295,Region IX,Sulu,Indanan,Badjao Elementary school,Talatak sitio,NA,SULU,INDANAN,1st District,BATO-BATO,6.028646,120.9503435
2026-00002,134296,Region IX,Sulu,Indanan,Bato-Bato ES,"Bato-Bato Indanan, Sulu",NA,SULU,INDANAN,1st District,BATO-BATO,5.9511846,120.9814453
2026-00003,134298,Region IX,Sulu,Indanan,Bunot Elementary School,Km.10,NA,SULU,INDANAN,1st District,BUNUT,5.9793,120.987035
2026-00004,134299,Region IX,Sulu,Indanan,Bwansa Elementary School,LAWM AD,NA,SULU,INDANAN,1st District,BUANZA,6.031796,120.971191
2026-00005,134300,Region IX,Sulu,Indanan,Cmdr. Bara Jalaidi (Karawan) PS,Karawan,NA,SULU,INDANAN,1st District,KARAWAN,6.00001,120.96667
2026-00006,134301,Region IX,Sulu,Indanan,Dayuan Primary School,KM 8,NA,SULU,INDANAN,1st District,TIMBANGAN,6,120.9666672
2026-00007,134302,Region IX,Sulu,Indanan,Ikih Elementary School,Andihih,NA,SULU,INDANAN,1st District,MALIMBAYA,6.0304534,120.9367003
2026-00008,134303,Region IX,Sulu,Indanan,Kagay Elementary School,kagay,NA,SULU,INDANAN,1st District,KAGAY,6.0069935,120.9450467
2026-00009,134304,Region IX,Sulu,Indanan,Upper Kajatian ES,"Km. 2,",NA,SULU,INDANAN,1st District,KAJATIAN,6.04317,120.99564
2026-00010,134306,Region IX,Sulu,Indanan,Kasambuhan Village Elementary School,"Km.4, Kasambuhan Village.",NA,SULU,INDANAN,1st District,TAGBAK,6.027877,120.990868
2026-00011,134307,Region IX,Sulu,Indanan,Lower Kajatian Elementary School,KM 2,NA,SULU,INDANAN,1st District,KAJATIAN,6.043939,120.99636
2026-00012,134308,Region IX,Sulu,Indanan,KUPPONG ES,KM17,NA,SULU,INDANAN,1st District,KUPPONG,5.9729478,120.9392873
2026-00013,134309,Region IX,Sulu,Indanan,Langpas Elementary School,N/A,NA,SULU,INDANAN,1st District,LANGPAS,6.044497,120.997025
2026-00014,134310,Region IX,Sulu,Indanan,Lugmah Elementary School,"Bunot , Indanan,Sulu",NA,SULU,INDANAN,1st District,BUNUT,5.9941149,120.9847642
2026-00015,134311,Region IX,Sulu,Indanan,Maharadja Abduraup Elem.School,Subah Datu,NA,SULU,INDANAN,1st District,BUANZA,6.0402523,120.9804988
2026-00016,134313,Region IX,Sulu,Indanan,Manilop ES,-,NA,SULU,INDANAN,1st District,MANILOP,5.96673,120.972658
2026-00017,134314,Region IX,Sulu,Indanan,Mukammali ES,"Sagay, Langpas, Indanan, Sulu",NA,SULU,INDANAN,1st District,LANGPAS,6.0002,120.9666
2026-00018,134316,Region IX,Sulu,Indanan,Palan Elementary School,kilometer 9,NA,SULU,INDANAN,1st District,ADJID,5.98928,121.01111
2026-00019,134318,Region IX,Sulu,Indanan,Panglima Indanan Central School,Lampaki,NA,SULU,INDANAN,1st District,LICUP,5.072691,120.978897
2026-00020,134319,Region IX,Sulu,Indanan,Panglima Mammah Elem. School,-,NA,SULU,INDANAN,1st District,TAGBAK,6.020518,120.959618
2026-00021,134320,Region IX,Sulu,Indanan,Pang. Uding ES,#NAME?,NA,SULU,INDANAN,1st District,TUBIG DAKULAH,6.0069431,120.927391
2026-00022,134321,Region IX,Sulu,Indanan,Panglima Ahajan ES,Km13,NA,SULU,INDANAN,1st District,PANABUAN,5.9619392,120.9632524
2026-00023,134322,Region IX,Sulu,Indanan,Panglima Misuari ES,Panglima Misuari,134322,SULU,INDANAN,1st District,PANGLIMA MISUARI (SASAK),5.965317,120.9460402
2026-00024,134323,Region IX,Sulu,Indanan,Pasil Elementary School,Pasil,NA,SULU,INDANAN,1st District,PASIL,10.29094,123.8948408
2026-00025,134325,Region IX,Sulu,Indanan,Poblacion Elementary School,Poblacion Indanan,NA,SULU,INDANAN,1st District,POBLACION (INDANAN),5.972052,120.971153
2026-00026,134327,Region IX,Sulu,Indanan,Sapah Malaum Elementary School,#NAME?,NA,SULU,INDANAN,1st District,SAPAH MALAUM,5.950285,120.937691
2026-00027,134328,Region IX,Sulu,Indanan,Sapie Elementary School,-,NA,SULU,INDANAN,1st District,PALIGUE,6.034469,120.98422
2026-00028,134329,Region IX,Sulu,Indanan,South Sionogan Elementary School,Sionogan,NA,SULU,INDANAN,1st District,SIONOGAN,6.0107017,120.9086683
2026-00029,134330,Region IX,Sulu,Indanan,Timahoe  Elementary School,"Subah Timahoe,Sionogan",NA,SULU,INDANAN,1st District,SIONOGAN,6,120.96
2026-00030,134331,Region IX,Sulu,Indanan,Timbangan Elementary School,-,NA,SULU,INDANAN,1st District,TIMBANGAN,6.044487,120.997261
2026-00031,305029,Region IX,Sulu,Indanan,Indanan NHS,-,NA,SULU,INDANAN,1st District,LICUP,5.972976,120.978302
2026-00032,305030,Region IX,Sulu,Indanan,Jolo Agricultural School,Tanjung,NA,SULU,JOLO (Capital),1st District,TULAY,6.0468621,120.9899198
2026-00033,305032,Region IX,Sulu,Indanan,Jolo School of Fisheries,Alat,NA,SULU,JOLO (Capital),1st District,ALAT,6.0467653,120.9952641
2026-00034,318402,Region IX,Sulu,Indanan,Pasil Indanan,-,NA,SULU,INDANAN,1st District,PASIL,5.971685,120.96991
2026-00035,318403,Region IX,Sulu,Indanan,Timbangan Indanan,"TIMBANGAN , INDANAN , SULU",NA,SULU,INDANAN,1st District,TIMBANGAN,6.003282,120.996017
2026-00036,318410,Region IX,Sulu,Indanan,Jolo Agricultural School-Annex (Bato-Bato),Bato-Bato,305030,SULU,INDANAN,1st District,BATO-BATO,6.032633,120.946515
2026-00037,318413,Region IX,Sulu,Indanan,Patikul NHS Annex (Danag),Danag,305045,SULU,PATIKUL,1st District,DANAG,6.024337,121.06737
2026-00038,318414,Region IX,Sulu,Indanan,Talipao NHS Annex (Talipao Proper),-,305047,SULU,TALIPAO,1st District,TALIPAO PROPER,5.9302486,121.0740638
2026-00039,318415,Region IX,Sulu,Indanan,JSF Annex (Kamlon Mem. HS),Barjaya,305032,SULU,LUUK,1st District,NIANGKAAN,5.96806,121.31275
2026-00040,134332,Region IX,Sulu,Jolo I,Cirilo Bueno Sr. ES,"Scott Road, San Raymundo",NA,SULU,JOLO (Capital),1st District,SAN RAYMUNDO,6.050833,121.000826
2026-00041,134333,Region IX,Sulu,Jolo I,Hadji Gulamu Rasul Elem. School,Scott Road San Raymundo,NA,SULU,JOLO (Capital),1st District,SAN RAYMUNDO,6.047308,121.01015
2026-00042,134334,Region IX,Sulu,Jolo I,Hamid Halim ES,Scott Road San Raymundo,NA,SULU,JOLO (Capital),1st District,SAN RAYMUNDO,6.049705,121.001132
2026-00043,134335,Region IX,Sulu,Jolo I,Muhammad Jajurie ES,-Hadji Butu Street' San Raymundo Jolo,NA,SULU,JOLO (Capital),1st District,SAN RAYMUNDO,6.049947,121.000244
2026-00044,134336,Region IX,Sulu,Jolo I,Mohammad Tulawie CES,Scott Road,NA,SULU,JOLO (Capital),1st District,SAN RAYMUNDO,6.05169,121.001337
2026-00045,134337,Region IX,Sulu,Jolo I,Salih Ututalum ES,"Scott Road, Sanraymundo",NA,SULU,JOLO (Capital),1st District,SAN RAYMUNDO,6.0510942,121.000887
2026-00046,134338,Region IX,Sulu,Jolo I,Salih Yusah ES,#NAME?,NA,SULU,JOLO (Capital),1st District,SAN RAYMUNDO,6.051358,121.000559
2026-00047,217065,Region IX,Sulu,Jolo I,Sulu SPED Center,#NAME?,NA,SULU,JOLO (Capital),1st District,SAN RAYMUNDO,6.0515563,121.0021261
2026-00048,305031,Region IX,Sulu,Jolo I,Jolo NHS,"Scott Road, Jolo, Sulu",NA,SULU,JOLO (Capital),1st District,SAN RAYMUNDO,6.05006,121.0005
2026-00049,305039,Region IX,Sulu,Jolo I,Hadji Panglima Tahil National High School,"Likud Bangas,Hadji Panglima Tahil",NA,SULU,HADJI PANGLIMA TAHIL (MARUNGGAS),1st District,BANGAS (POB.),6.114475,120.96559
