2026-03-10T23:10:07.584Z | LOGOUT | System | User logged out
2026-03-10T23:03:24.177Z | LOGOUT | System | User logged out
2026-03-10T23:00:01.912Z | LOGOUT | System | User logged out
2026-03-10T22:54:13.385Z | LOGOUT | System | User logged out
2026-03-10T22:52:18.252Z | LOGOUT | System | User logged out
2026-03-10T22:50:14.311Z | LOGIN | null | null
2026-03-10T22:49:56.787Z | LOGOUT | System | User logged out
2026-03-10T22:48:39.144Z | LOGIN | null | null
2026-03-10T22:48:21.051Z | LOGOUT | System | User logged out
2026-03-10T22:44:01.589Z | LOGIN | null | null
2026-03-10T22:43:28.963Z | LOGOUT | System | User logged out
2026-03-10T22:43:06.703Z | LOGIN | null | null
2026-03-10T22:42:27.000Z | LOGOUT | System | User logged out
2026-03-10T22:42:22.335Z | LOGIN | null | null
2026-03-10T22:42:06.603Z | LOGOUT | System | User logged out
2026-03-10T22:30:03.476Z | LOGOUT | System | User logged out
2026-03-10T22:13:58.026Z | LOGIN | null | null
2026-03-10T21:47:16.159Z | LOGIN | null | null
2026-03-10T21:47:10.194Z | LOGOUT | System | User logged out
2026-03-10T21:43:47.173Z | REGISTER | User Profile | Registered as Regional Office
2026-03-10T21:42:51.488Z | LOGOUT | System | User logged out
2026-03-10T21:42:40.383Z | LOGIN | null | null
2026-03-10T21:36:57.311Z | LOGOUT | System | User logged out
2026-03-10T21:33:15.451Z | REGISTER | User Profile | Registered as Regional Office
2026-03-10T21:32:29.342Z | LOGOUT | System | User logged out
2026-03-10T21:31:14.424Z | REGISTER | User Profile | Registered as School Division Office
2026-03-10T21:30:18.142Z | LOGOUT | System | User logged out
2026-03-10T21:29:03.425Z | LOGOUT | System | User logged out
2026-03-10T21:26:34.920Z | LOGIN | null | null
2026-03-10T21:11:25.629Z | LOGIN | null | null
2026-03-10T21:08:17.967Z | LOGOUT | System | User logged out
2026-03-10T21:04:49.270Z | UPDATE | Project: DEPEDACCOUNTTESTNEQCON (INF-2026-00020) | {"action":"Project Update","ipc":"INF-2026-00020","changes":["Status: 'Not Yet Started' -> 'Not Yet Started'","Remarks updated"],"snapshot":{"status_of_construction_phase":"Not Yet Started","accomplishment":0,"date":"2026-03-11T05:04:50.575Z"}}
2026-03-10T21:03:01.665Z | LOGIN | null | null
2026-03-10T21:02:14.699Z | LOGIN | null | null
2026-03-10T20:55:15.975Z | LOGOUT | System | User logged out
2026-03-10T20:50:12.371Z | LOGIN | null | null
2026-03-10T20:50:09.414Z | LOGOUT | System | User logged out
2026-03-10T20:31:51.368Z | REGISTER | User Profile | Registered as Regional Office
2026-03-10T20:17:56.959Z | LOGIN | null | null
2026-03-10T20:17:14.618Z | LOGIN | null | null
2026-03-10T19:45:55.348Z | LOGIN | null | null
2026-03-10T19:44:44.863Z | REGISTER | User Profile | Registered as Regional Office
2026-03-10T19:43:11.838Z | LOGOUT | System | User logged out
2026-03-10T19:42:49.410Z | LOGIN | null | null
2026-03-10T19:33:59.896Z | LOGOUT | System | User logged out
2026-03-10T19:25:28.373Z | LOGIN | null | null
2026-03-10T19:14:33.487Z | LOGOUT | System | User logged out
2026-03-10T19:05:06.319Z | UPDATE SETTING | maintenance_mode | Updated maintenance_mode to false
2026-03-10T19:05:02.036Z | LOGIN | null | null
2026-03-10T19:04:59.706Z | LOGIN | null | null
2026-03-10T19:04:30.104Z | LOGIN | null | null
2026-03-10T19:04:28.484Z | LOGIN | null | null
2026-03-10T19:04:15.193Z | LOGOUT | System | User logged out
2026-03-10T19:04:10.631Z | UPDATE | Learner Statistics | Updated learner statistics for school 110550
2026-03-10T19:03:59.687Z | LOGIN | null | null
2026-03-10T19:03:43.173Z | LOGIN | null | null
2026-03-10T19:02:39.791Z | LOGIN | null | null
2026-03-10T19:02:21.597Z | LOGOUT | System | User logged out
2026-03-10T19:02:20.737Z | UPDATE | Enrolment Data: 324903 | Updated enrolment (Total: 168)
2026-03-10T19:02:01.314Z | UPDATE SETTING | maintenance_mode | Updated maintenance_mode to true
2026-03-10T19:01:20.024Z | LOGIN | null | null
2026-03-10T19:01:15.253Z | LOGIN | null | null
2026-03-10T19:01:10.065Z | LOGIN | null | null
2026-03-10T19:00:59.547Z | LOGIN | null | null
2026-03-10T19:00:44.948Z | UPDATE | Enrolment Data: 302970 | Updated enrolment (Total: 425)
2026-03-10T19:00:18.769Z | LOGIN | null | null
2026-03-10T19:00:05.578Z | LOGIN | null | null
2026-03-10T18:59:54.102Z | LOGIN | null | null
2026-03-10T18:58:52.976Z | LOGIN | null | null
2026-03-10T18:58:24.503Z | UPDATE | School Head Info | Updated personal information
2026-03-10T18:58:01.059Z | UPDATE | School Profile: 324903 | Submitted profile for Pit-os National High School
2026-03-10T18:57:58.208Z | UPDATE | Enrolment Data: 302970 | Updated enrolment (Total: 309)
2026-03-10T18:56:50.485Z | LOGIN | null | null
2026-03-10T18:56:46.776Z | UPDATE | Learner Statistics | Updated learner statistics for school 119154
